,Device,Title,ReviewText,SubmissionTime,UserNickname
21,Samsung Galaxy S7,Awesome experience from previous phone,"The Samsung S7 has been an awesome phone so far, I've had it less than a week. I love the app SmartSwitch, it worked seamlessly through my old LG G4 & the new Samsung Galaxy S7. Lovin the battery life too & camera takes incredible pics & video!!!","Feb 08, 2017",SamsungS7
22,Samsung Galaxy S7,I'm very happy that I decided not to buy an iPhone 7.,"After I bought a Vizio e-series tv, I decided to upgrade my phone, as the Vizio uses apps on the cellphone to control streaming online content. Not only do the two devices function seamlessly together, but compared to my old Samsung Galaxy s3, the s7 is beautiful (the gold-on-platinum finish is so striking, I bought a transparent phone case for it), light, fast, incredibly user-friendly, charges rapidly (less than an hour), and holds a charge throughout a long, busy day. The screen is big without being too big, and for an added bonus, the earbuds included with the phone sound much better than you'd expect, particularly when paired with the Poweramp music player app available on the Google Play Store.","Feb 08, 2017",billybangdouglas
23,Samsung Galaxy S7,Happy,I love my new phone and would not ever trade it for another divice samsung is an amazing company that knows that people want,"Feb 08, 2017",Honeybadgergirl
24,Samsung Galaxy S7,Awesome apps,"I am very spoiled when it comes to Samsung they have really good phones and features. Their apps are easy accessible, I love the water resistance feature.","Feb 08, 2017",Terri541
25,Samsung Galaxy S7,Great Phone!,"Love the features on this phone. Always a plus with Samsung! Camera is good, storage is good, holds a lot.","Feb 07, 2017",Bambi619
26,Samsung Galaxy S7,Keeps getting better,"The S7 has new features that make it more convenient and a pleasure to use. Great job Samsung, keep making those quality products!","Feb 06, 2017",pm293
27,Samsung Galaxy S7,My very first smartphone!,"Easy to use. I have a Samsung tablet so icons on this phone were familiar. Love the camera, just in time to take pictures of new grandbaby.","Feb 06, 2017",DCGrammy
28,Samsung Galaxy S7,Good upgrade from my previous phone,I am better able to keep better informed of events that effect my daily life from the weather to current events and news updates,"Feb 06, 2017",Supertech2
29,Samsung Galaxy S7,This phone has everything I expected in a smartphone.,This is my first smartphone and I am still exploring all of its functions. So far I am very happy with the design and performance of the phone.,"Feb 03, 2017",JoesS7
30,Samsung Galaxy S7,Love it!,Love this phone. So glad to finally be back to a Samsung device. Such a great phone to have with good quality,"Feb 03, 2017",Katie97
31,Samsung Galaxy S7,Love!!!,"This phone is amazing. Easy to navigate Lita of storage, and the personalization options are almost end less. And it takes pretty good pictures too! I would for sure recommend this to all of my friends.","Feb 03, 2017",Ablischke2009
32,Samsung Galaxy S7,Great Phone! Awesome features.,I previously had a S6 phone and liked it very much so it was easy to upgrade to a S7. It has an excellent camera which I was very interested in.,"Feb 03, 2017",Marieski
33,Samsung Galaxy S7,Review of Galaxy s7,Very pleased with device. I really like the monthly payment plan. The Samsung Switch made it very easy to get started on my new phone.,"Feb 02, 2017",Jimmy T
34,Samsung Galaxy S7,Really glad I got this phone,"Awesome phone! Tons of cool and useful features. Easy to use, not a brick, what else could ya ask for?","Feb 02, 2017",armyty89
35,Samsung Galaxy S7,Fast processor.,"Great device, really fast and responsive, opens apps very quickly and I can surf the Web and watch video's without interruptions.","Jan 31, 2017",Delamora2038
36,Samsung Galaxy S7,Love it. Great phone.,Great phone. Excellent features. Great battery life. Easy to use. Went from a droid to this phone. So glad I did.,"Jan 30, 2017",Cjmasterson
37,Samsung Galaxy S7,Great device,The camera is great. The battery life is great. Smartswitch made it simple to transfer all info from old device,"Jan 30, 2017",Mjp2368
38,Samsung Galaxy S7,Does everything that I need it to.,It was easy to transition to this from my previous phone. It is much faster and has a lot better battery life than the one I used to have.,"Jan 30, 2017",BigO320
39,Samsung Galaxy S7,"Good phone, easy to use. Got a good deal on the purchase","Great phone, service. Sales Representative was great . The last one was the best. Been a Verizon customer for 15 years. Not planning on changing now","Jan 29, 2017",Patrick John
40,Samsung Galaxy S7,Fantastic leap from S4,"After spending two comfortable years with the S4, I was apprehensive of having to start all over with a new phone. Enter a wonderful Verizon Rep at the local store who answered all my questions and was there for me when I needed help with a few of the newer bells and whistles. I am one week into the new ownership and am loving it. It's fast, durable, and fun to work with. I love the ease of moving apps from page to page","Jan 28, 2017",vhill1953
41,Samsung Galaxy S7,Much better than my old iphone,Really happy with the switch to the Samsung Galaxy S7 from my iphone. It's more logical for me as I come from a Windows and Google background. The apple platform just never made sense to me and my new Galaxy is so much easier to use.The screen is very clear and sharp. Sound quality is great and I can back up my pictures easily into my Google Cloud,"Jan 28, 2017",Degg
42,Samsung Galaxy S7,My favorite phone so far!,"Ive had samsung phones pretty much since ive had a cell phone. I switched from the note 5 which i thought was an awesome phone. The camera on this phone is pretty amazing. The pictures are so clear and focused. Other than that they are pretty similar phones. The only thing that i miss sometimes is the pen, but i still like this phone better!","Jan 28, 2017",Andert19
43,Samsung Galaxy S7,Love it,I used to be an iPhone person but 2 years ago switch to the Samsung Galaxy S5 and found it to be more user friendly. Recently I upgraded to the Samsung Galaxy S7 and I'm still in love.,"Jan 27, 2017",Julia N
44,Samsung Galaxy S7,From Galaxy s4 to Galaxy s7 and Samsung Rocks,I love this new phone and the Camers...my last one was a s4 so I knew how functions work. Easy transition and I love this slick look.,"Jan 26, 2017",Annie 1102
45,Samsung Galaxy S7,Love the phone! Hate the battery life!,"I went back to the Galaxy S series after a few years with the Motorola Droid. I am completely satisified with everything the phone has to offer except the battery life. I have to charge it atleast twice a day. Thank goodness for the rapid charge feature. I really don't feel like I use it as much as others but the battery drains really fast. I'm not a big app user. My biggest use is on facebook while looking at pics. However, even being idle at night, it rapidly drains. I've turned off most of my notifications. too. Anyway, the size is perfect for me - not too big, not too small. It's got everything I need and more.","Jan 26, 2017",ReneeN
46,Samsung Galaxy S7,great phone...easy to navigate...this is the phone I should have had all al,the product is great...I like the features...and something I have not seen in a while was my being to transfer my information from my old phone...I was very impressed with that feature. I was a little concern about not having access to the battery but after speaking with the rep he assured of the quality of the S7 phones battery.,"Jan 26, 2017",poogey
47,Samsung Galaxy S7,Myou Galaxy S7,"The Samsung Galaxy S7 is a great phone. I especially love the wireless charging feature with the charging stand. The dual camera is a very nice feature also. The size of the phone fits my hand isn't so large, that it is difficult to carry with me at all times. Please keep this phone available in the future.","Jan 26, 2017",Centertap
48,Samsung Galaxy S7,Love Samsung Galaxy,"I've had the Samsung Galaxy 3, 5, and now 7, each one a little better then the last. You can't beat the picture quality.","Jan 25, 2017",DJ 68
49,Samsung Galaxy S7,Great New Technology,Excellent screen image quality. Nice applications newer applications. Better speed. Battery life is very good. I like wireless charging a lot.,"Jan 25, 2017",yaylinux
50,Samsung Galaxy S7,Great phone,"Love the design and ease of use, so far have not lost or dropped calls where I previously have before with other carriers...definitely recommend this to all my friends","Jan 24, 2017",Lil Bit
51,Samsung Galaxy S7,Best phone yet.,"I'm a late bloomer to the smart phones. The Samsung Galaxy S7 IS my second Android. I find it very easy to use. The APPS are similar to my HTC one, but only a million times faster. The pictures are incredible.","Jan 24, 2017",Top Cop
52,Samsung Galaxy S7,"Very easy to transition, it gives more respect to the android product. It doesn't try to mimic other phones, it has its own personality.","Everyone loves apple products, but android does not try to be better, it is better because it's more reliable","Jan 24, 2017",White Lightning
53,Samsung Galaxy S7,Great phone!,Great phone. Was a seamless transition from my S6. It is light and fast. My S7 has really good sound quality. All the same features ando more.,"Jan 24, 2017",Laughing
54,Samsung Galaxy S7,Fabulous camera!,Awesome picture quality! Its not huge and bulky the pictures are beautiful and full of vibrant color. Very happy with my choice in phone.,"Jan 23, 2017",czeverquits
55,Samsung Galaxy S7,Galaxy S7,"Faster and better screen resolution than S5 and S6, more options better camera and blue tooth connection.","Jan 22, 2017",katymar
56,Samsung Galaxy S7,"Loved my Windows phone, but this is a great replacement!","I was a huge fan of the Nokia Lumia line of phones, but Verizon stopped carrying the upgrades for this line, and the selection of Windows apps was dismal. Switching to this phone has been great - there are an indefinite number of apps for Google Play, it's user-friendly, and it has some great capabilities with my Samsung Galaxy Tab A. While I feel that my Nokia Lumia took better nighttime photos, I am overall happy with this phone's camera and the ease with which I can turn data, wifi and location on and off and the ""power save"" mode, all which help save on battery life. There is very little that I miss from my old phone - mostly a couple of games specific to Windows/Xbox. Every app I had on that phone, there are at least 5 similar offerings on Google Play. Also love that it isn't too large for my small girl-hands to hold.","Jan 22, 2017",krystlechc
57,Samsung Galaxy S7,My opinion up to this point.,"A tremendous upgrade from my S5, simply put, better in every way! But still way too early for me to make a valid review.","Jan 22, 2017",Trnix
58,Samsung Galaxy S7,Easier than iPhone,I'll admit that I'm not very tech savvy and my prior phone (iPhone) really made me feel dumb. I was always bugging anyone I knew that had one with so many questions. I counted down the days until I was eligible for an upgrade. My son and sister both have Samsung phones and had told me on numerous occasions that I would be much happier with one. I now have the Samsung GalaxyS7 and I love it. It's only been a week but I feel like I already have mastered so much more on this phone than the other one I had for years.,"Jan 21, 2017",Cherry8
59,Samsung Galaxy S7,Love it!!,This phone has a better display and speaker than my S4. The camera makes better quality pictures. Easy to operate,"Jan 21, 2017",Zoeysnana
60,Samsung Galaxy S7,Nice phone,This is a great phone. It is easy to use. I love the in the gold color. This is my 3rd Galaxy home and I've been very happy with every one of them. I highly recommend this phone.,"Jan 20, 2017",Lilac339
61,Samsung Galaxy S7,Easy to use.,"The screen is nice and clear. Easy to use, the set up is easy. I really like the Samsung Galaxy S7. My information was put on to my new phone with no problem. I did not lose any of my pictures or contacts. I am a happy customer.","Jan 20, 2017",the force will be with me
62,Samsung Galaxy S7,Great device,"This phone replaced a well-loved LG G3, so far, it has been a great choice. I love the features and it was an easy transition.","Jan 19, 2017",Suzp
63,Samsung Galaxy S7,"Great phone and really helpful, easy switch","Comfortable, classy looking, lovely functions, fits well in hand, tempered glass front, very easy to use","Jan 19, 2017",Me and you two 9999999o
64,Samsung Galaxy S7,First time user,"I'm a fan of Samsung phones! However more for the geek in mind. Try it, if you don't mind the challenge.","Jan 18, 2017",Fiery
65,Samsung Galaxy S7,Love the expandable memory! Put in 64 G...helps me a lot because I use my phone for my Uber and Lyft ride share business! Everything transferred over!,Love this phone and would (and do) recommend it to anyone looking to purchase a new phone:-) ;-),"Jan 18, 2017",Carolines Galaxy 7
66,Samsung Galaxy S7,new phone,I think the s5 was cool but not as cool as the s7 better quality faster cool down speed built in flashlight,"Jan 18, 2017",davidr2002
67,Samsung Galaxy S7,had a flipphone like this better,trying to get into the smartphone age of doing things.had to have Granddaughter show me how to do somethings and i figured how to do others it is easy to use once i get started,"Jan 18, 2017",what do you want
68,Samsung Galaxy S7,Great Phone,Great Phone. I am very pleased with the S7. I came from iPhones and ios. The Samsung is head and shoulders above the iPhone. No issues switching to the android platform. Highly recommend. Only drawbacks are battery life could be a little better.,"Jan 17, 2017",Egrah
69,Samsung Galaxy S7,Great phone,Easy to use. Seamless transition from S5 to S7 and from previous provider to Verizon. Greattach new features.,"Jan 17, 2017",cat3074
70,Samsung Galaxy S7,Very easy to get used to.,"I like the extras that are on this model, meaning less apps to download. I like the fast charging too.","Jan 17, 2017",Moby Freckles
71,Samsung Galaxy S7,Great phone,"I bought this about a week ago, and do far my experience is great. I love it, I would recommend this.","Jan 16, 2017",Brownxy
72,Samsung Galaxy S7,Samsung Galaxy 7,Bought two weeks ago and am pleased with it. It is a very good phone. The staff was very helpful. .,"Jan 16, 2017",Agrcowboy1
73,Samsung Galaxy S7,Nice!,"Finally pulled the trigger and got the upgrade from my S5. Skipped the 6 because I don't like change, but finally I broke my screen and felt it was time. The S7 is really cool, not a huge fan of the price but it's no more expensive than any of the other leading phones I ordered some of thes and can't wait to see some VR women!","Jan 15, 2017",Bornsavage1983
74,Samsung Galaxy S7,Good,Had to upgrade to this model after damaging my phone in a car accident I like this upgrade happy with it so far,"Jan 15, 2017",752 Sweet pea
75,Samsung Galaxy S7,Great phone,"After looking at all my options, I landed on the S7. All the reviews were right, the phone is everything I expected and more.","Jan 15, 2017",MartyJV
76,Samsung Galaxy S7,My Samsung Galaxy S7,Love it! It's pretty and has great features. Easy to you for a non techy person. Meets my needs perfectly.,"Jan 14, 2017",Sharp59
77,Samsung Galaxy S7,Transitioning from the iOS to the Samsung Galaxy s7 was much easier than I initially expected it to be.,"This is an amazing phone. First and foremost I love the customizability of it. It's quite literally a personal companion down to the nitty gritty. Transferring information from the iOS was easy too. Unlike iTunes, Samsung is made to be a compatible devise per each individual user. I love this phone. Obviously being waterproof is an outstanding perk. I used to think the battery life of the iOS was something to be proud of, but the galaxy s7 has a tremendous battery life and charges 100% faster. That helps so you don't go to bed with your phone plugged in and when it's done charging it doesn't just continually burn up the battery. You charge it as its needed and that's that. So far I have yet to find anything I dislike about the Samsung Galaxy s7. Highly recommend this phone.","Jan 14, 2017",GoGalaxybyBeefy
78,Samsung Galaxy S7,Great phone,Upgraded my phone. Good choice. We have used Verizon since they came to TX. Would no think of using another phone.,"Jan 14, 2017",Hope5215
79,Samsung Galaxy S7,SAMSUNG all the way! Will never use another brand of phone!,I have had all of the SAMSUNG galaxy phones starting with the original all the way to the S7. I cannot wait for the S8. IPhone's suck!,"Jan 13, 2017",InOut22408
80,Samsung Galaxy S7,Easy transition form the iPhone 6s,"I have had my Galaxy S7 for less then a week now, and I have to admit - for the first 2 or 3 days I was pretty hesitant about keeping it. However, I am now sold on the phone. It can do so much more then my previous iPhone 6s and it has a lot more power behind it. The switch over, which I thought was going to be very difficult, was actually pretty simple, and I was able to do it compleatly from home. Yes, even switching over my contacts!","Jan 13, 2017",IntrepidSky
81,Samsung Galaxy S7,Easy transition from the galaxy s3,Very happy I upgraded my phone. I would only change the curved sides on phone don't like that part of the phone.,"Jan 12, 2017",Countrymancrafter96
82,Samsung Galaxy S7,I Love My Phone!,"I got my phone a couple of months ago after upgrading from the Galaxy S5 and have no problems with it. I can go a whole day without charging until night time and then there are days I do have to charge during the day. It all depends on how I use my phone. I have a lot of apps that was transferred from the Galaxy S5 but haven't activate all of them. If I had activated all of them, then I would be charging my phone twice or more a day. BTW I like the new style charger because the the hardly feels hot to the touch. I do have minor complaints. 1- Not happy with a removable battery. It was the only I could shut off my other phones when they froze. This phone hasn't frozen so far. 2- Being made of glass. More of a risk of being cracked. That was one of the reasons why I didn't want the iPhone. 3- Needs sensitivity touch control when wearing gloves in the winter which they had on the Galaxy S5. 4- Needs voice commands when using a Bluetooth when driving. I had that command when I had a flip phone (I forgot which cell phone company had that. All I had to do was press the button on my Bluetooth and the voice commands came on.) so why can't a smart phone have it without going to the PlayStore and downloading Google Voice? It should be automatically programmed into the phone just like my old flip phone? Otherwise, I am very happy with the phone. It is very easy to use and Verizonwireless customer service is very helpful when I am in a jam.","Jan 12, 2017",beedee11126
83,Samsung Galaxy S7,Great features,Absolutely love the color of my Galaxy S7 Edge and the size is perfect The transition from one phone to the next is very simple and easy to manipulate around,"Jan 11, 2017",Loop83
84,Samsung Galaxy S7,Great phone,Easy transfer. Love the folder feature to organize apps. Very similar to older version so transition was user friendly.,"Jan 11, 2017",heymom17
85,Samsung Galaxy S7,S7,Always owned a samsung they make a good reliable product would recommend the phone to anyone.Im sure the new one will be as good as the rest,"Jan 11, 2017",RLF II
86,Samsung Galaxy S7,Switching from a land line to a Galaxy S7,The S7 is great. The upgrades to the camera are awesome. The low light camera is great. The crispness of the images is excellent. The accessories we have for the Galaxy S5 work even better on the S7.,"Jan 10, 2017",MarmotMike
87,Samsung Galaxy S7,Great phone,Purchased this phone because our old Samsung phones (S3) batteries and this new phone has a lot more things that came with it. Great phone and are enjoying it.,"Jan 10, 2017",ninja1902
88,Samsung Galaxy S7,Amazing new features!,This is by far the best phone I've ever used. Sorry apple. I think Samsung may have you beat here. Minimum of 100 characters?,"Jan 09, 2017",Mweed
89,Samsung Galaxy S7,Upgrade from my S5,"This phone is a little smaller than my s5, but it is a lot faster. The battery lasts about three hours longer. I'm very satisfied. It as worth the upgrade.","Jan 09, 2017",Deforest
90,Samsung Galaxy S7,Great phone!,"Only had the phone a couple of weeks. Seems to be more that I learn daily with this phone. I was already using a galaxy s4, but wow what an awesome phone.","Jan 09, 2017",Newele
91,Samsung Galaxy S7,Samsung Galaxy S7,I bought the 1st one about 3 weeks ago had to send in back due to flashlight not working. Took to local store they fixed worked one day. That is when I mailed it make in. They sent new phone so far so good. Have to wait and see.,"Jan 09, 2017",Kattie56
92,Samsung Galaxy S7,Good so far,So far so good great features easy to use long battery life great screen graphics it just fits well in your hand.,"Jan 09, 2017",Princeofdogs
93,Samsung Galaxy S7,Easy transition. Love the camera upgrade,Bought it for Christmas and it was easy to transfer all of my information including apps. To my new cell.,"Jan 08, 2017",Andrem07
94,Samsung Galaxy S7,Easy transition from my note 4,"I bought this phone a few weeks ago as an upgrade for my Samsung note 4. I have had no issues, great phone!","Jan 08, 2017",Paige05
95,Samsung Galaxy S7,Great Phone!!!,"I upgraded from the Galaxy S3 which I loved, and am thrilled with the S7. I have absolutely no complaints. It is easy to use and the ringtones are loud enough to hear thru my bag or pocket. I love all the improvements since the S3 came out which was a great phone.","Jan 08, 2017",BXNYLULU
96,Samsung Galaxy S7,.First smartphone,"This is my very first smartphone and the transition from a flip phone, although daunting, has been smooth with the help of tech support. At first I began to believe that I was dumber then a smartphone but have adapted pretty well and really wish I would have done it sooner.","Jan 07, 2017",loucipher3
97,Samsung Galaxy S7,I love my phone.,"This is my 1st smart phone and I love it. When I haven't been able to find out how to do things, I either found it in settings, or went online on my laptop and googled my question, and was able to find my answer.","Jan 07, 2017",Do not know what this is
98,Samsung Galaxy S7,Amazing phone,I had a Samsung s5 didn't think I would ever like another phone as I did that one. However the s7 is just as amazing if not better. I love the camera and how I can set themes to match my style. Super easy to use. And fast charging!,"Jan 07, 2017",Chels7788
99,Samsung Galaxy S7,Awesome upgrade,I went from the Galaxy S4 to the S7 and the transition was so easy. I love the updated features and ease of navigation.,"Jan 07, 2017",Dbranson
